Country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
 Bolivia,85,80,85,90,95,100
 Brazil,42000,49700,36400,39800,44900,48200
 Burundi,265,230,175,165,215,215
 Cameroon,50,50,25,50,25,25
 China,2000,1900,1800,1800,1800,1900
 Colombia,14100,13400,11800,10700,12200,12400
 Congo (Kinshasa),75,75,70,75,75,75
 Costa Rica,1466,1472,1215,1100,1100,1100
 Cuba,90,100,100,100,100,100
 Dominican Republic,120,120,125,125,125,125
 Ecuador,155,88,90,113,120,105
 El Salvador,510,540,600,550,450,450
 Ethiopia,7475,7600,8150,7300,8350,8360
 Guatemala,3515,3810,3410,3150,3000,3000
 Honduras,5200,6500,4800,5700,5300,5300
 India,1450,1650,1583,1667,1500,1400
 Indonesia,1250,1300,1280,1200,1350,1400
 Jamaica,16,15,15,15,15,15
 Kenya,750,693,860,750,725,750
 Madagascar,25,25,25,25,25,25
 Malawi,10,10,11,11,10,10
 Mexico,3150,3000,3200,3000,3325,3350
 Nicaragua,2675,2550,2718,2430,2275,2525
 Panama,75,75,75,85,75,75
 Papua New Guinea,775,650,725,825,850,825
 Peru,3925,3369,4200,3475,4000,4250
 Philippines,25,25,25,25,25,25
 Rwanda,350,300,270,260,250,275
 Tanzania,625,600,650,650,750,775
 Uganda,1025,730,990,990,1000,1000
 United States,39,33,38,40,50,50
 Venezuela,550,480,500,500,500,500
 Vietnam,1100,950,1100,1000,1100,1150
