Country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
 Brazil,4040,3954,4055,3900,4000,4100
 China,230,300,315,360,350,325
 Colombia,1025,1010,1100,950,1000,1000
 Cote dchr(39)Ivoire,290,285,325,270,300,300
 Ecuador,370,475,413,465,400,400
 El Salvador,12,15,11,10,10,10
 European Union,1215,1460,1820,1720,1500,1500
 Guatemala,5,11,15,15,15,15
 India,1782,1970,2310,2490,2080,2130
 Indonesia,1000,1350,1050,1040,1000,1000
 Malaysia,3000,2780,2975,2500,2300,2400
 Mexico,945,865,695,880,900,950
 Nicaragua,120,75,65,55,50,50
 Switzerland,415,400,365,365,350,350
 Tanzania,30,7,7,10,10,10
 Thailand,905,885,990,900,1095,1000
 Vietnam,2250,2300,2350,1890,1650,1700
