Table 03A Coffee Production


                ,2019/20,2020/21,2021/22,2022/23,2023/24,Jun 2024/25,
Production,
                        
 Albania,0,0,0,0,0,0,
 Algeria,0,0,0,0,0,0,
 Angola,32,30,30,20,25,25,
 Argentina,0,0,0,0,0,0,
 Armenia,0,0,0,0,0,0,
 Australia,0,0,0,0,0,0,
 Benin,0,0,0,0,0,0,
 Bolivia,85,80,85,90,95,100,
 Bosnia and Herzegovina,0,0,0,0,0,0,
 Brazil,60500,69900,58100,62600,66300,69900,
 Burundi,265,230,175,165,215,215,
 Cameroon,475,400,275,250,285,300,
 Canada,0,0,0,0,0,0,
 Central African Republic,0,0,0,0,0,0,
 Chile,0,0,0,0,0,0,
 China,2000,1900,1800,1800,1800,1900,
 Colombia,14100,13400,11800,10700,12200,12400,
 Congo (Brazzaville),0,0,0,0,0,0,
 Congo (Kinshasa),255,250,270,265,275,275,
 Costa Rica,1466,1472,1215,1100,1100,1100,
 Cote dchr(39)Ivoire,1775,910,1110,1020,1350,1400,
 Croatia,0,0,0,0,0,0,
 Cuba,90,100,100,100,100,100,
 Dominican Republic,120,120,125,125,125,125,
 Ecuador,275,255,260,354,370,355,
 Egypt,0,0,0,0,0,0,
 El Salvador,510,540,600,550,450,450,
 Equatorial Guinea,0,0,0,0,0,0,
 Ethiopia,7475,7600,8150,7300,8350,8360,
 European Union,0,0,0,0,0,0,
 Gabon,0,0,0,0,0,0,
 Georgia,0,0,0,0,0,0,
 Ghana,0,0,0,0,0,0,
 Guatemala,3645,3930,3540,3270,3120,3120,
 Guinea,145,70,265,140,200,175,
 Guyana,0,0,0,0,0,0,
 Haiti,0,0,0,0,0,0,
 Honduras,5200,6500,4800,5700,5300,5300,
 India,4967,5567,5700,5867,6100,6000,
 Indonesia,10700,10700,10580,10700,8150,10900,
 Iran,0,0,0,0,0,0,
 Jamaica,16,15,15,15,15,15,
 Japan,0,0,0,0,0,0,
 Jordan,0,0,0,0,0,0,
 Kazakhstan,0,0,0,0,0,0,
 Kenya,750,693,860,750,725,750,
 Korea South,0,0,0,0,0,0,
 Kosovo,0,0,0,0,0,0,
 Laos,440,485,385,435,450,450,
 Liberia,0,0,0,0,0,0,
 North Macedonia,0,0,0,0,0,0,
 Madagascar,325,325,300,325,300,300,
 Malawi,10,10,11,11,10,10,
 Malaysia,1900,2000,2000,2000,1500,1500,
 Mexico,3700,3530,3740,3545,3870,3900,
 Montenegro,0,0,0,0,0,0,
 Morocco,0,0,0,0,0,0,
 New Caledonia,0,0,0,0,0,0,
 New Zealand,0,0,0,0,0,0,
 Nicaragua,2755,2650,2838,2590,2435,2685,
 Nigeria,0,0,0,0,0,0,
 Norway,0,0,0,0,0,0,
 Panama,75,75,75,85,75,75,
 Papua New Guinea,825,700,775,875,900,875,
 Paraguay,0,0,0,0,0,0,
 Peru,3925,3369,4200,3475,4000,4250,
 Philippines,450,425,450,475,450,450,
 Russia,0,0,0,0,0,0,
 Rwanda,350,300,270,260,250,275,
 Saudi Arabia,0,0,0,0,0,0,
 Senegal,0,0,0,0,0,0,
 Serbia,0,0,0,0,0,0,
 Sierra Leone,65,75,40,50,60,50,
 Singapore,0,0,0,0,0,0,
 South Africa,0,0,0,0,0,0,
 Sri Lanka,0,0,0,0,0,0,
 Switzerland,0,0,0,0,0,0,
 Taiwan,0,0,0,0,0,0,
 Tanzania,1200,1125,1200,1200,1350,1400,
 Thailand,700,600,650,700,750,700,
 Togo,100,85,80,100,80,100,
 Trinidad and Tobago,0,0,0,0,0,0,
 Turkey,0,0,0,0,0,0,
 Uganda,5475,6630,6050,6565,6400,6400,
 Ukraine,0,0,0,0,0,0,
 United Kingdom,0,0,0,0,0,0,
 United States,39,33,38,40,50,50,
 Uruguay,0,0,0,0,0,0,
 Venezuela,550,480,500,500,500,500,
 Vietnam,31300,29000,31580,28300,29100,29000,
 Yemen,0,0,0,0,0,0,
 Zambia,0,0,0,0,0,0,
 Zimbabwe,0,0,0,0,0,0,

    Total,169030,176559,165037,164412,169180,176235,
