Coffee Summary Continued


                ,2019/20,2020/21,2021/22,2022/23,2023/24,Jun 2024/25,
Bean Imports,
                            nr,nr,nr,nr,nr,nr,
 European Union,44460,43875,46600,44490,45500,47500,
 United States,23900,24320,25225,22540,23600,24500,
 Japan,6550,6520,6800,5860,6160,6500,
 Russia,3180,3390,3400,3500,3500,3500,
 Switzerland,3030,3450,3400,3290,3220,3300,
 China,900,1675,1665,1965,3200,3000,
 Canada,2835,2860,2940,2700,2700,2900,
 Korea South,2660,2635,3015,2820,2800,2900,
 United Kingdom,2640,2270,2725,2285,2375,2450,
 Algeria,2000,2200,2050,2000,1900,1900,
 Other,18448,18907,20658,20340,20691,20932,

    Total,110603,112102,118478,111790,115646,119382,

Roast and Ground Imports,
                            nr,nr,nr,nr,nr,nr,
 United Kingdom,585,580,580,775,700,700,
 United States,360,605,580,640,625,600,
 Canada,480,475,550,450,360,400,
 Ukraine,450,460,450,400,375,400,
 Korea South,320,360,390,355,360,375,
 Russia,430,460,305,350,350,350,
 Vietnam,300,200,200,8,200,300,
 China,260,310,350,290,225,250,
 Australia,200,205,200,200,200,200,
 Saudi Arabia,190,200,210,200,200,200,
 Other,744,781,885,800,826,821,

    Total,4319,4636,4700,4468,4421,4596,

Soluble Imports,
                            nr,nr,nr,nr,nr,nr,
 Philippines,5000,5500,5700,5800,5500,5500,
 Canada,1515,1660,1840,1960,1860,1900,
 China,1785,1840,2170,1975,1800,1800,
 Indonesia,766,751,725,983,1000,1000,
 United Kingdom,580,105,680,920,900,900,
 United States,800,585,1235,725,850,900,
 Japan,630,530,500,535,625,650,
 Kazakhstan,225,210,325,500,500,500,
 Russia,1015,315,350,400,400,400,
 Australia,345,210,365,290,350,350,
 Other,3615,3698,3799,3568,3329,3615,

    Total,16276,15404,17689,17656,17114,17515,

Imports,
                            nr,nr,nr,nr,nr,nr,
 European Union,44460,43875,46600,44490,45500,47500,
 United States,25060,25510,27040,23905,25075,26000,
 Japan,7290,7150,7415,6505,6895,7260,
 Philippines,5670,6160,6540,6500,6300,6300,
 Canada,4830,4995,5330,5110,4920,5200,
 China,2945,3825,4185,4230,5225,5050,
 Russia,4625,4165,4055,4250,4250,4250,
 United Kingdom,3805,2955,3985,3980,3975,4050,
 Switzerland,3030,3450,3400,3290,3220,3300,
 Korea South,2980,2995,3405,3175,3160,3275,
 Other,26503,27062,28912,28479,28661,29308,

    Total,131198,132142,140867,133914,137181,141493,
