Table 05 Green Coffee Bean Ending Stocks


                ,2019/20,2020/21,2021/22,2022/23,2023/24,Jun 2024/25,
Ending Stocks,
                        
 Albania,0,0,0,0,0,0,
 Algeria,0,0,0,0,0,0,
 Angola,0,0,0,0,0,0,
 Argentina,0,0,0,0,0,0,
 Armenia,0,0,0,0,0,0,
 Australia,0,0,0,0,0,0,
 Benin,0,0,0,0,0,0,
 Bolivia,0,0,0,0,0,0,
 Bosnia and Herzegovina,0,0,0,0,0,0,
 Brazil,2373,4390,540,4620,2885,3539,
 Burundi,0,0,0,0,0,0,
 Cameroon,30,20,25,20,25,25,
 Canada,0,0,0,0,0,0,
 Central African Republic,0,0,0,0,0,0,
 Chile,0,0,0,0,0,0,
 China,48,488,358,303,553,458,
 Colombia,852,1235,760,885,705,590,
 Congo (Brazzaville),0,0,0,0,0,0,
 Congo (Kinshasa),0,0,0,0,0,0,
 Costa Rica,299,281,241,181,166,76,
 Cote dchr(39)Ivoire,0,0,0,0,0,0,
 Croatia,0,0,0,0,0,0,
 Cuba,0,0,0,0,0,0,
 Dominican Republic,0,0,0,0,0,0,
 Ecuador,210,166,158,98,100,90,
 Egypt,0,0,0,0,0,0,
 El Salvador,9,21,14,10,25,20,
 Equatorial Guinea,0,0,0,0,0,0,
 Ethiopia,210,135,90,50,80,90,
 European Union,15038,13767,14000,9313,9500,11600,
 Gabon,0,0,0,0,0,0,
 Georgia,0,0,0,0,0,0,
 Ghana,0,0,0,0,0,0,
 Guatemala,120,111,21,12,13,20,
 Guinea,0,0,0,0,0,0,
 Guyana,0,0,0,0,0,0,
 Haiti,0,0,0,0,0,0,
 Honduras,124,269,67,112,152,67,
 India,973,911,168,139,253,253,
 Indonesia,2298,1669,1056,500,480,550,
 Iran,0,0,0,0,0,0,
 Jamaica,0,0,0,0,0,0,
 Japan,2897,2693,2898,2517,2112,2072,
 Jordan,0,0,0,0,0,0,
 Kazakhstan,0,0,0,0,0,0,
 Kenya,205,173,227,64,37,37,
 Korea South,0,0,0,0,0,0,
 Kosovo,0,0,0,0,0,0,
 Laos,0,0,0,0,0,0,
 Liberia,0,0,0,0,0,0,
 North Macedonia,0,0,0,0,0,0,
 Madagascar,0,0,0,0,0,0,
 Malawi,0,0,0,0,0,0,
 Malaysia,0,0,0,0,0,0,
 Mexico,99,17,99,79,58,48,
 Montenegro,0,0,0,0,0,0,
 Morocco,0,0,0,0,0,0,
 New Caledonia,0,0,0,0,0,0,
 New Zealand,0,0,0,0,0,0,
 Nicaragua,37,37,25,25,25,25,
 Nigeria,0,0,0,0,0,0,
 Norway,0,0,0,0,0,0,
 Panama,0,0,0,0,0,0,
 Papua New Guinea,35,35,35,35,35,0,
 Paraguay,0,0,0,0,0,0,
 Peru,126,85,95,95,15,15,
 Philippines,800,800,600,500,300,0,
 Russia,0,0,0,0,0,0,
 Rwanda,0,0,0,0,0,0,
 Saudi Arabia,0,0,0,0,0,0,
 Senegal,0,0,0,0,0,0,
 Serbia,0,0,0,0,0,0,
 Sierra Leone,0,0,0,0,0,0,
 Singapore,0,0,0,0,0,0,
 South Africa,0,0,0,0,0,0,
 Sri Lanka,0,0,0,0,0,0,
 Switzerland,0,0,0,0,0,0,
 Taiwan,0,0,0,0,0,0,
 Tanzania,130,129,51,22,31,51,
 Thailand,0,0,0,0,0,0,
 Togo,0,0,0,0,0,0,
 Trinidad and Tobago,0,0,0,0,0,0,
 Turkey,0,0,0,0,0,0,
 Uganda,363,379,454,469,244,19,
 Ukraine,0,0,0,0,0,0,
 United Kingdom,0,0,0,0,0,0,
 United States,6402,6023,6378,5700,5700,5700,
 Uruguay,0,0,0,0,0,0,
 Venezuela,0,0,0,0,0,0,
 Vietnam,2130,3660,3580,839,439,439,
 Yemen,0,0,0,0,0,0,
 Zambia,0,0,0,0,0,0,
 Zimbabwe,0,0,0,0,0,0,

    Total,35808,37494,31940,26588,23933,25784,
