Country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
 Angola,32,30,30,20,25,25
 Brazil,18500,20200,21700,22800,21400,21700
 Cameroon,425,350,250,200,260,275
 Congo (Kinshasa),180,175,200,190,200,200
 Cote dchr(39)Ivoire,1775,910,1110,1020,1350,1400
 Ecuador,120,167,170,241,250,250
 Guatemala,130,120,130,120,120,120
 Guinea,145,70,265,140,200,175
 India,3517,3917,4117,4200,4600,4600
 Indonesia,9450,9400,9300,9500,6800,9500
 Laos,440,485,385,435,450,450
 Madagascar,300,300,275,300,275,275
 Malaysia,1900,2000,2000,2000,1500,1500
 Mexico,550,530,540,545,545,550
 Nicaragua,80,100,120,160,160,160
 Papua New Guinea,50,50,50,50,50,50
 Philippines,425,400,425,450,425,425
 Sierra Leone,65,75,40,50,60,50
 Tanzania,575,525,550,550,600,625
 Thailand,700,600,650,700,750,700
 Togo,100,85,80,100,80,100
 Uganda,4450,5900,5060,5575,5400,5400
 Vietnam,30200,28050,30480,27300,28000,27850
