Country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
 Albania,90,100,85,35,25,30
 Algeria,2040,2240,2090,2050,1950,1950
 Argentina,859,789,906,1019,810,840
 Armenia,200,180,220,240,220,225
 Australia,1960,2055,2305,2135,2150,2200
 Bosnia and Herzegovina,330,345,305,305,300,300
 Brazil,67,72,75,75,75,75
 Canada,4830,4995,5330,5110,4920,5200
 Chile,245,215,200,260,260,275
 China,2945,3825,4185,4230,5225,5050
 Colombia,980,1818,2235,2185,1620,1760
 Costa Rica,210,160,205,230,225,200
 Ecuador,441,441,421,441,426,426
 Egypt,750,400,450,350,400,425
 El Salvador,283,235,221,240,250,250
 European Union,44460,43875,46600,44490,45500,47500
 Georgia,80,85,95,95,90,90
 Guatemala,304,361,349,350,362,357
 Honduras,28,24,21,22,25,25
 India,1430,1345,1690,1760,1650,1660
 Indonesia,1231,993,985,1347,1970,1520
 Iran,305,425,635,770,895,1000
 Japan,7290,7150,7415,6505,6895,7260
 Jordan,770,845,730,725,745,810
 Kazakhstan,225,210,325,500,500,500
 Kenya,11,11,13,15,18,20
 Korea South,2980,2995,3405,3175,3160,3275
 Kosovo,90,70,65,60,65,60
 North Macedonia,100,90,77,85,85,85
 Malaysia,1735,1580,1725,1175,1200,1200
 Mexico,1980,1984,2125,2035,1869,1940
 Montenegro,35,40,40,40,40,40
 Morocco,710,880,990,805,795,775
 New Zealand,450,525,515,515,485,515
 Nicaragua,25,25,25,25,25,25
 Norway,795,815,750,725,765,795
 Panama,40,55,70,65,105,110
 Peru,119,138,120,90,90,90
 Philippines,5670,6160,6540,6500,6300,6300
 Russia,4625,4165,4055,4250,4250,4250
 Saudi Arabia,1040,1200,1140,1380,1300,1350
 Senegal,80,85,50,15,10,10
 Serbia,805,835,735,725,750,775
 Singapore,100,90,100,110,100,105
 South Africa,660,715,880,650,600,665
 Switzerland,3030,3450,3400,3290,3220,3300
 Taiwan,690,660,695,690,710,720
 Tanzania,0,6,9,6,6,5
 Thailand,1005,935,1065,930,1195,1225
 Turkey,1215,1165,1285,1590,1605,1625
 Ukraine,1270,1235,1300,1080,1060,1120
 United Kingdom,3805,2955,3985,3980,3975,4050
 United States,25060,25510,27040,23905,25075,26000
 Uruguay,20,35,40,35,35,35
 Vietnam,700,550,550,499,800,1100
