Table 03B Arabica Coffee Production


                ,2019/20,2020/21,2021/22,2022/23,2023/24,Jun 2024/25,
Arabica Production,
                        
 Albania,0,0,0,0,0,0,
 Algeria,0,0,0,0,0,0,
 Angola,0,0,0,0,0,0,
 Argentina,0,0,0,0,0,0,
 Armenia,0,0,0,0,0,0,
 Australia,0,0,0,0,0,0,
 Benin,0,0,0,0,0,0,
 Bolivia,85,80,85,90,95,100,
 Bosnia and Herzegovina,0,0,0,0,0,0,
 Brazil,42000,49700,36400,39800,44900,48200,
 Burundi,265,230,175,165,215,215,
 Cameroon,50,50,25,50,25,25,
 Canada,0,0,0,0,0,0,
 Central African Republic,0,0,0,0,0,0,
 Chile,0,0,0,0,0,0,
 China,2000,1900,1800,1800,1800,1900,
 Colombia,14100,13400,11800,10700,12200,12400,
 Congo (Brazzaville),0,0,0,0,0,0,
 Congo (Kinshasa),75,75,70,75,75,75,
 Costa Rica,1466,1472,1215,1100,1100,1100,
 Cote dchr(39)Ivoire,0,0,0,0,0,0,
 Croatia,0,0,0,0,0,0,
 Cuba,90,100,100,100,100,100,
 Dominican Republic,120,120,125,125,125,125,
 Ecuador,155,88,90,113,120,105,
 Egypt,0,0,0,0,0,0,
 El Salvador,510,540,600,550,450,450,
 Equatorial Guinea,0,0,0,0,0,0,
 Ethiopia,7475,7600,8150,7300,8350,8360,
 European Union,0,0,0,0,0,0,
 Gabon,0,0,0,0,0,0,
 Georgia,0,0,0,0,0,0,
 Ghana,0,0,0,0,0,0,
 Guatemala,3515,3810,3410,3150,3000,3000,
 Guinea,0,0,0,0,0,0,
 Guyana,0,0,0,0,0,0,
 Haiti,0,0,0,0,0,0,
 Honduras,5200,6500,4800,5700,5300,5300,
 India,1450,1650,1583,1667,1500,1400,
 Indonesia,1250,1300,1280,1200,1350,1400,
 Iran,0,0,0,0,0,0,
 Jamaica,16,15,15,15,15,15,
 Japan,0,0,0,0,0,0,
 Jordan,0,0,0,0,0,0,
 Kazakhstan,0,0,0,0,0,0,
 Kenya,750,693,860,750,725,750,
 Korea South,0,0,0,0,0,0,
 Kosovo,0,0,0,0,0,0,
 Laos,0,0,0,0,0,0,
 Liberia,0,0,0,0,0,0,
 North Macedonia,0,0,0,0,0,0,
 Madagascar,25,25,25,25,25,25,
 Malawi,10,10,11,11,10,10,
 Malaysia,0,0,0,0,0,0,
 Mexico,3150,3000,3200,3000,3325,3350,
 Montenegro,0,0,0,0,0,0,
 Morocco,0,0,0,0,0,0,
 New Caledonia,0,0,0,0,0,0,
 New Zealand,0,0,0,0,0,0,
 Nicaragua,2675,2550,2718,2430,2275,2525,
 Nigeria,0,0,0,0,0,0,
 Norway,0,0,0,0,0,0,
 Panama,75,75,75,85,75,75,
 Papua New Guinea,775,650,725,825,850,825,
 Paraguay,0,0,0,0,0,0,
 Peru,3925,3369,4200,3475,4000,4250,
 Philippines,25,25,25,25,25,25,
 Russia,0,0,0,0,0,0,
 Rwanda,350,300,270,260,250,275,
 Saudi Arabia,0,0,0,0,0,0,
 Senegal,0,0,0,0,0,0,
 Serbia,0,0,0,0,0,0,
 Sierra Leone,0,0,0,0,0,0,
 Singapore,0,0,0,0,0,0,
 South Africa,0,0,0,0,0,0,
 Sri Lanka,0,0,0,0,0,0,
 Switzerland,0,0,0,0,0,0,
 Taiwan,0,0,0,0,0,0,
 Tanzania,625,600,650,650,750,775,
 Thailand,0,0,0,0,0,0,
 Togo,0,0,0,0,0,0,
 Trinidad and Tobago,0,0,0,0,0,0,
 Turkey,0,0,0,0,0,0,
 Uganda,1025,730,990,990,1000,1000,
 Ukraine,0,0,0,0,0,0,
 United Kingdom,0,0,0,0,0,0,
 United States,39,33,38,40,50,50,
 Uruguay,0,0,0,0,0,0,
 Venezuela,550,480,500,500,500,500,
 Vietnam,1100,950,1100,1000,1100,1150,
 Yemen,0,0,0,0,0,0,
 Zambia,0,0,0,0,0,0,
 Zimbabwe,0,0,0,0,0,0,

    Total,94921,102120,87110,87766,95680,99855,
