Coffee Summary Continued


                ,2019/20,2020/21,2021/22,2022/23,2023/24,Jun 2024/25,
Bean Exports,
                            nr,nr,nr,nr,nr,nr,
 Brazil,36190,41689,35576,32200,41500,42500,
 Vietnam,24526,22450,26110,26000,24850,24400,
 Colombia,11770,11500,11000,9450,10600,10800,
 Indonesia,6096,6466,6335,6735,4285,6500,
 Uganda,5350,6514,5850,6250,6300,6300,
 Honduras,4900,6010,4650,5310,4900,5000,
 Ethiopia,4135,4675,4831,3910,4820,4800,
 India,3399,3818,4937,3924,4250,4200,
 Peru,3720,3326,4065,3325,3920,4100,
 Guatemala,3211,3675,3335,3000,2850,2840,
 Other,13018,11014,12258,10846,11245,11676,

    Total,116315,121137,118947,110950,119520,123116,

Roast and Ground Exports,
                            nr,nr,nr,nr,nr,nr,
 European Union,2275,2415,2680,2975,2200,2100,
 Switzerland,1560,1870,1850,1765,1850,1850,
 Vietnam,550,550,550,450,350,400,
 Colombia,210,245,265,210,180,200,
 Mexico,206,252,148,120,160,150,
 Brazil,26,32,54,45,50,51,
 Indonesia,56,56,43,57,70,50,
 Panama,40,30,32,32,35,35,
 China,15,25,60,5,25,20,
 Costa Rica,10,10,10,10,10,10,
 Other,19,17,21,17,16,21,

    Total,4967,5502,5713,5686,4946,4887,

Soluble Exports,
                            nr,nr,nr,nr,nr,nr,
 Brazil,4040,3954,4055,3900,4000,4100,
 Malaysia,3000,2780,2975,2500,2300,2400,
 India,1782,1970,2310,2490,2080,2130,
 Vietnam,2250,2300,2350,1890,1650,1700,
 European Union,1215,1460,1820,1720,1500,1500,
 Colombia,1025,1010,1100,950,1000,1000,
 Indonesia,1000,1350,1050,1040,1000,1000,
 Thailand,905,885,990,900,1095,1000,
 Mexico,945,865,695,880,900,950,
 Ecuador,370,475,413,465,400,400,
 Other,1102,1093,1103,1085,1085,1060,

    Total,17634,18142,18861,17820,17010,17240,

Exports,
                            nr,nr,nr,nr,nr,nr,
 Brazil,40256,45675,39685,36145,45550,46651,
 Vietnam,27326,25300,29010,28340,26850,26500,
 Colombia,13005,12755,12365,10610,11780,12000,
 Indonesia,7152,7872,7428,7832,5355,7550,
 India,5185,5794,7258,6420,6336,6340,
 Uganda,5350,6514,5850,6250,6300,6300,
 Honduras,4900,6010,4650,5310,4900,5000,
 Ethiopia,4135,4675,4831,3910,4820,4800,
 Peru,3720,3326,4065,3325,3920,4100,
 European Union,3490,3875,4500,4695,3700,3600,
 Other,24397,22985,23879,21619,21965,22402,

    Total,138916,144781,143521,134456,141476,145243,
