Table 07C Soluble Coffee Imports


                ,2019/20,2020/21,2021/22,2022/23,2023/24,Jun 2024/25,
Soluble Imports,
                        
 Albania,0,0,0,0,0,0,
 Algeria,40,40,40,50,50,50,
 Angola,0,0,0,0,0,0,
 Argentina,310,350,360,400,315,325,
 Armenia,0,0,0,0,0,0,
 Australia,345,210,365,290,350,350,
 Benin,0,0,0,0,0,0,
 Bolivia,0,0,0,0,0,0,
 Bosnia and Herzegovina,0,0,0,0,0,0,
 Brazil,0,0,0,0,0,0,
 Burundi,0,0,0,0,0,0,
 Cameroon,0,0,0,0,0,0,
 Canada,1515,1660,1840,1960,1860,1900,
 Central African Republic,0,0,0,0,0,0,
 Chile,0,0,0,0,0,0,
 China,1785,1840,2170,1975,1800,1800,
 Colombia,130,145,190,180,170,180,
 Congo (Brazzaville),0,0,0,0,0,0,
 Congo (Kinshasa),0,0,0,0,0,0,
 Costa Rica,5,5,5,5,5,5,
 Cote dchr(39)Ivoire,0,0,0,0,0,0,
 Croatia,0,0,0,0,0,0,
 Cuba,0,0,0,0,0,0,
 Dominican Republic,0,0,0,0,0,0,
 Ecuador,90,90,90,110,100,100,
 Egypt,0,0,0,0,0,0,
 El Salvador,258,215,200,225,240,240,
 Equatorial Guinea,0,0,0,0,0,0,
 Ethiopia,0,0,0,0,0,0,
 European Union,0,0,0,0,0,0,
 Gabon,0,0,0,0,0,0,
 Georgia,0,0,0,0,0,0,
 Ghana,0,0,0,0,0,0,
 Guatemala,300,350,344,345,355,350,
 Guinea,0,0,0,0,0,0,
 Guyana,0,0,0,0,0,0,
 Haiti,0,0,0,0,0,0,
 Honduras,28,24,21,22,25,25,
 India,74,88,49,50,30,30,
 Indonesia,766,751,725,983,1000,1000,
 Iran,100,40,150,100,80,100,
 Jamaica,0,0,0,0,0,0,
 Japan,630,530,500,535,625,650,
 Jordan,310,315,300,275,225,275,
 Kazakhstan,225,210,325,500,500,500,
 Kenya,11,11,13,15,18,20,
 Korea South,0,0,0,0,0,0,
 Kosovo,0,0,0,0,0,0,
 Laos,0,0,0,0,0,0,
 Liberia,0,0,0,0,0,0,
 North Macedonia,0,0,0,0,0,0,
 Madagascar,0,0,0,0,0,0,
 Malawi,0,0,0,0,0,0,
 Malaysia,0,0,0,0,0,0,
 Mexico,380,301,238,274,250,250,
 Montenegro,0,0,0,0,0,0,
 Morocco,0,0,0,0,0,0,
 New Caledonia,0,0,0,0,0,0,
 New Zealand,205,270,235,260,225,250,
 Nicaragua,25,25,25,25,25,25,
 Nigeria,0,0,0,0,0,0,
 Norway,95,100,90,100,100,100,
 Panama,10,15,20,15,20,20,
 Papua New Guinea,0,0,0,0,0,0,
 Paraguay,0,0,0,0,0,0,
 Peru,119,138,120,90,90,90,
 Philippines,5000,5500,5700,5800,5500,5500,
 Russia,1015,315,350,400,400,400,
 Rwanda,0,0,0,0,0,0,
 Saudi Arabia,0,0,0,0,0,0,
 Senegal,0,0,0,0,0,0,
 Serbia,315,335,260,265,275,275,
 Sierra Leone,0,0,0,0,0,0,
 Singapore,0,0,0,0,0,0,
 South Africa,310,405,490,350,250,300,
 Sri Lanka,0,0,0,0,0,0,
 Switzerland,0,0,0,0,0,0,
 Taiwan,0,0,0,0,0,0,
 Tanzania,0,6,9,6,6,5,
 Thailand,0,0,0,0,0,0,
 Togo,0,0,0,0,0,0,
 Trinidad and Tobago,0,0,0,0,0,0,
 Turkey,0,0,0,0,0,0,
 Uganda,0,0,0,0,0,0,
 Ukraine,400,330,450,280,275,300,
 United Kingdom,580,105,680,920,900,900,
 United States,800,585,1235,725,850,900,
 Uruguay,0,0,0,0,0,0,
 Venezuela,0,0,0,0,0,0,
 Vietnam,100,100,100,126,200,300,
 Yemen,0,0,0,0,0,0,
 Zambia,0,0,0,0,0,0,
 Zimbabwe,0,0,0,0,0,0,

    Total,16276,15404,17689,17656,17114,17515,
