Table 06A Total Coffee Exports


                ,2019/20,2020/21,2021/22,2022/23,2023/24,Jun 2024/25,
Exports,
                        
 Albania,0,0,0,0,0,0,
 Algeria,0,0,0,0,0,0,
 Angola,22,16,18,10,15,15,
 Argentina,0,0,0,0,0,0,
 Armenia,0,0,0,0,0,0,
 Australia,0,0,0,0,0,0,
 Benin,0,0,0,0,0,0,
 Bolivia,22,23,33,40,40,40,
 Bosnia and Herzegovina,0,0,0,0,0,0,
 Brazil,40256,45675,39685,36145,45550,46651,
 Burundi,260,215,160,150,200,200,
 Cameroon,400,330,190,180,200,225,
 Canada,0,0,0,0,0,0,
 Central African Republic,0,0,0,0,0,0,
 Chile,0,0,0,0,0,0,
 China,1130,685,1115,685,975,845,
 Colombia,13005,12755,12365,10610,11780,12000,
 Congo (Brazzaville),0,0,0,0,0,0,
 Congo (Kinshasa),125,120,150,140,150,150,
 Costa Rica,1140,1165,1110,1010,960,1010,
 Cote dchr(39)Ivoire,1715,865,1060,970,1300,1350,
 Croatia,0,0,0,0,0,0,
 Cuba,10,15,20,17,20,20,
 Dominican Republic,10,10,12,15,15,15,
 Ecuador,391,511,484,542,431,451,
 Egypt,0,0,0,0,0,0,
 El Salvador,555,542,611,497,385,410,
 Equatorial Guinea,0,0,0,0,0,0,
 Ethiopia,4135,4675,4831,3910,4820,4800,
 European Union,3490,3875,4500,4695,3700,3600,
 Gabon,0,0,0,0,0,0,
 Georgia,0,0,0,0,0,0,
 Ghana,0,0,0,0,0,0,
 Guatemala,3220,3691,3354,3019,2869,2860,
 Guinea,125,60,250,125,185,160,
 Guyana,0,0,0,0,0,0,
 Haiti,0,0,0,0,0,0,
 Honduras,4900,6010,4650,5310,4900,5000,
 India,5185,5794,7258,6420,6336,6340,
 Indonesia,7152,7872,7428,7832,5355,7550,
 Iran,0,0,0,0,0,0,
 Jamaica,11,11,11,10,10,10,
 Japan,0,0,0,0,0,0,
 Jordan,0,0,0,0,0,0,
 Kazakhstan,0,0,0,0,0,0,
 Kenya,737,655,771,881,725,725,
 Korea South,0,0,0,0,0,0,
 Kosovo,0,0,0,0,0,0,
 Laos,340,400,300,350,370,370,
 Liberia,0,0,0,0,0,0,
 North Macedonia,0,0,0,0,0,0,
 Madagascar,25,35,15,10,10,10,
 Malawi,9,9,10,10,9,10,
 Malaysia,3000,2780,2975,2500,2300,2400,
 Mexico,2986,3007,2933,2550,2660,2750,
 Montenegro,0,0,0,0,0,0,
 Morocco,0,0,0,0,0,0,
 New Caledonia,0,0,0,0,0,0,
 New Zealand,0,0,0,0,0,0,
 Nicaragua,2740,2500,2710,2460,2305,2555,
 Nigeria,0,0,0,0,0,0,
 Norway,0,0,0,0,0,0,
 Panama,48,33,35,33,36,36,
 Papua New Guinea,775,650,720,825,850,860,
 Paraguay,0,0,0,0,0,0,
 Peru,3720,3326,4065,3325,3920,4100,
 Philippines,0,0,0,0,0,0,
 Russia,0,0,0,0,0,0,
 Rwanda,350,300,270,260,250,275,
 Saudi Arabia,0,0,0,0,0,0,
 Senegal,0,0,0,0,0,0,
 Serbia,0,0,0,0,0,0,
 Sierra Leone,41,60,30,40,50,40,
 Singapore,0,0,0,0,0,0,
 South Africa,0,0,0,0,0,0,
 Sri Lanka,0,0,0,0,0,0,
 Switzerland,1975,2270,2215,2130,2200,2200,
 Taiwan,0,0,0,0,0,0,
 Tanzania,1230,1057,1247,1160,1270,1310,
 Thailand,905,885,990,900,1095,1000,
 Togo,100,85,80,100,80,100,
 Trinidad and Tobago,0,0,0,0,0,0,
 Turkey,0,0,0,0,0,0,
 Uganda,5350,6514,5850,6250,6300,6300,
 Ukraine,0,0,0,0,0,0,
 United Kingdom,0,0,0,0,0,0,
 United States,0,0,0,0,0,0,
 Uruguay,0,0,0,0,0,0,
 Venezuela,0,0,0,0,0,0,
 Vietnam,27326,25300,29010,28340,26850,26500,
 Yemen,0,0,0,0,0,0,
 Zambia,0,0,0,0,0,0,
 Zimbabwe,0,0,0,0,0,0,

    Total,138916,144781,143521,134456,141476,145243,
