country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,latitude,longitude
 Ecuador,350,350,330,330,325,325,-0.180653,-78.467834
 El Salvador,12,5,6,0,0,0,13.68935,-89.18718
 Indonesia,445,230,244,347,950,500,-6.2,106.816666
 Philippines,670,660,840,700,800,800,14.599512,120.984222
 Guatemala,0,4,0,0,2,2,14.628434,-90.522713
 Panama,30,40,50,50,85,90,8.983333,-79.51667
 Colombia,845,1670,2040,2000,1445,1575,4.624335,-74.063644
 Vietnam,300,250,250,365,400,500,21.028511,105.804817
 Malaysia,1735,1580,1725,1175,1200,1200,3.140853,101.693207
 Mexico,1522,1582,1811,1723,1569,1650,19.432777,-99.133217
 European Union,44460,43875,46600,44490,45500,47500,53,9
 Switzerland,3030,3450,3400,3290,3220,3300,46.204391,6.143158
 Costa Rica,200,145,190,220,215,185,9.934739,-84.087502
 India,1354,1256,1590,1700,1600,1620,28.6448,77.216721
 United States,23900,24320,25225,22540,23600,24500,38.889805,-77.009056
 Thailand,930,900,1040,900,1170,1200,13.736717,100.523186
 China,900,1675,1665,1965,3200,3000,39.916668,116.383331
 Turkey,1165,1105,1175,1465,1475,1500,39.9334,32.8597
 Montenegro,35,40,40,40,40,40,42.4304,19.2594
 Kosovo,90,70,65,60,65,60,42.6629,21.1655
 Armenia,200,180,220,240,220,225,40.1792,44.4991
 Algeria,2000,2200,2050,2000,1900,1900,36.7372,3.0866
 Jordan,460,530,430,450,520,535,31.9517,35.9239
 Egypt,750,400,450,350,400,425,30.0444,31.2357
 Uruguay,20,35,40,35,35,35,34.9011,56.1645
 Senegal,80,85,50,15,10,10,14.6928,17.4467
 New Zealand,210,220,245,230,235,240,41.2865,174.7762
 United Kingdom,2640,2270,2725,2285,2375,2450,51.5074,0.1278
 Canada,2835,2860,2940,2700,2700,2900,45.4215,75.6972
 Albania,90,100,85,35,25,30,41.3275,19.8189
 Saudi Arabia,850,1000,930,1180,1100,1150,24.7136,46.6753
 South Africa,350,310,390,300,350,365,29.0852,26.1596
 Iran,205,385,485,670,815,900,35.6892,51.389
 Morocco,675,815,935,750,750,725,34.0209,6.8416
 Argentina,525,410,505,580,460,475,34.6037,58.3816
 Russia,3180,3390,3400,3500,3500,3500,55.7558,37.6173
 Ukraine,420,445,400,400,410,420,50.4501,30.5234
 Taiwan,590,560,580,585,610,620,25.033,121.5654
 Korea South,2660,2635,3015,2820,2800,2900,37.5665,126.978
 Bosnia and Herzegovina,330,345,305,305,300,300,43.8563,18.4131
 Serbia,490,500,475,460,475,500,44.7866,20.4489
 Chile,245,215,200,260,260,275,33.4489,70.6693
 Japan,6550,6520,6800,5860,6160,6500,35.6762,139.6503
 Australia,1415,1640,1740,1645,1600,1650,35.2809,149.13
 Norway,580,580,525,485,500,525,59.9139,10.7522
 North Macedonia,100,90,77,85,85,85,41.9981,21.4254
 Georgia,80,85,95,95,90,90,41.7151,44.8271
 Singapore,100,90,100,110,100,105,1.3521,103.8198
