country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,latitude,longitude
 Angola,32,30,30,20,25,25,-8.838333,13.234444
 Brazil,18500,20200,21700,22800,21400,21700,-15.793889,-47.882778
 Cameroon,425,350,250,200,260,275,3.844119,11.501346
 Congo (Kinshasa),180,175,200,190,200,200,-4.322447,15.307045
 Ecuador,120,167,170,241,250,250,-0.180653,-78.467834
 Guatemala,130,120,130,120,120,120,14.628434,-90.522713
 Guinea,145,70,265,140,200,175,9.509167,-13.712222
 India,3517,3917,4117,4200,4600,4600,28.6448,77.216721
 Indonesia,9450,9400,9300,9500,6800,9500,-6.2,106.816666
 Laos,440,485,385,435,450,450,17.974855,102.630867
 Madagascar,300,300,275,300,275,275,-18.91368,47.53613
 Malaysia,1900,2000,2000,2000,1500,1500,3.140853,101.693207
 Mexico,550,530,540,545,545,550,19.432777,-99.133217
 Nicaragua,80,100,120,160,160,160,12.136389,-86.251389
 Papua New Guinea,50,50,50,50,50,50,-4.343673,152.268784
 Philippines,425,400,425,450,425,425,14.599512,120.984222
 Sierra Leone,65,75,40,50,60,50,8.484444,-13.234444
 Tanzania,575,525,550,550,600,625,-6.776012,39.178326
 Thailand,700,600,650,700,750,700,13.736717,100.523186
 Togo,100,85,80,100,80,100,6.136629,1.222186
 Uganda,4450,5900,5060,5575,5400,5400,0.347596,32.58252
 Vietnam,30200,28050,30480,27300,28000,27850,21.028511,105.804817
Cote dIvoire,1775,910,1110,1020,1350,1400,5.345317,-4.024429
