country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,latitude,longitude
 Algeria,40,40,40,50,50,50,36.7372,3.0866
 Argentina,310,350,360,400,315,325,34.6037,58.3816
 Australia,345,210,365,290,350,350,35.2809,149.13
 Canada,1515,1660,1840,1960,1860,1900,45.4215,75.6972
 China,1785,1840,2170,1975,1800,1800,39.916668,116.383331
 Colombia,130,145,190,180,170,180,4.624335,-74.063644
 Costa Rica,5,5,5,5,5,5,9.934739,-84.087502
 Ecuador,90,90,90,110,100,100,-0.180653,-78.467834
 El Salvador,258,215,200,225,240,240,13.68935,-89.18718
 Guatemala,300,350,344,345,355,350,14.628434,-90.522713
 Honduras,28,24,21,22,25,25,14.081999,-87.202438
 India,74,88,49,50,30,30,28.6448,77.216721
 Indonesia,766,751,725,983,1000,1000,-6.2,106.816666
 Iran,100,40,150,100,80,100,35.6892,51.389
 Japan,630,530,500,535,625,650,35.6762,139.6503
 Jordan,310,315,300,275,225,275,31.9517,35.9239
 Kazakhstan,225,210,325,500,500,500,51.1694,71.4491
 Kenya,11,11,13,15,18,20,-1.286389,36.817223
 Mexico,380,301,238,274,250,250,19.432777,-99.133217
 New Zealand,205,270,235,260,225,250,41.2865,174.7762
 Nicaragua,25,25,25,25,25,25,12.136389,-86.251389
 Norway,95,100,90,100,100,100,59.9139,10.7522
 Panama,10,15,20,15,20,20,8.983333,-79.51667
 Peru,119,138,120,90,90,90,-12.046374,-77.042793
 Philippines,5000,5500,5700,5800,5500,5500,14.599512,120.984222
 Russia,1015,315,350,400,400,400,55.7558,37.6173
 Serbia,315,335,260,265,275,275,44.7866,20.4489
 South Africa,310,405,490,350,250,300,29.0852,26.1596
 Tanzania,0,6,9,6,6,5,-6.776012,39.178326
 Ukraine,400,330,450,280,275,300,50.4501,30.5234
 United Kingdom,580,105,680,920,900,900,51.5074,0.1278
 United States,800,585,1235,725,850,900,38.889805,-77.009056
 Vietnam,100,100,100,126,200,300,21.028511,105.804817
