country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,latitude,longitude
 Ecuador,441,441,421,441,426,426,-0.180653,-78.467834
 El Salvador,283,235,221,240,250,250,13.68935,-89.18718
 Brazil,67,72,75,75,75,75,-15.793889,-47.882778
 Indonesia,1231,993,985,1347,1970,1520,-6.2,106.816666
 Philippines,5670,6160,6540,6500,6300,6300,14.599512,120.984222
 Guatemala,304,361,349,350,362,357,14.628434,-90.522713
 Panama,40,55,70,65,105,110,8.983333,-79.51667
 Colombia,980,1818,2235,2185,1620,1760,4.624335,-74.063644
 Vietnam,700,550,550,499,800,1100,21.028511,105.804817
 Malaysia,1735,1580,1725,1175,1200,1200,3.140853,101.693207
 Mexico,1980,1984,2125,2035,1869,1940,19.432777,-99.133217
 Nicaragua,25,25,25,25,25,25,12.136389,-86.251389
 European Union,44460,43875,46600,44490,45500,47500,53,9
 Honduras,28,24,21,22,25,25,14.081999,-87.202438
 Switzerland,3030,3450,3400,3290,3220,3300,46.204391,6.143158
 Tanzania,0,6,9,6,6,5,-6.776012,39.178326
 Peru,119,138,120,90,90,90,-12.046374,-77.042793
 Costa Rica,210,160,205,230,225,200,9.934739,-84.087502
 India,1430,1345,1690,1760,1650,1660,28.6448,77.216721
 United States,25060,25510,27040,23905,25075,26000,38.889805,-77.009056
 Thailand,1005,935,1065,930,1195,1225,13.736717,100.523186
 Kenya,11,11,13,15,18,20,-1.286389,36.817223
 China,2945,3825,4185,4230,5225,5050,39.916668,116.383331
 Turkey,1215,1165,1285,1590,1605,1625,39.9334,32.8597
 Montenegro,35,40,40,40,40,40,42.4304,19.2594
 Kosovo,90,70,65,60,65,60,42.6629,21.1655
 Armenia,200,180,220,240,220,225,40.1792,44.4991
 Algeria,2040,2240,2090,2050,1950,1950,36.7372,3.0866
 Jordan,770,845,730,725,745,810,31.9517,35.9239
 Egypt,750,400,450,350,400,425,30.0444,31.2357
 Uruguay,20,35,40,35,35,35,34.9011,56.1645
 Senegal,80,85,50,15,10,10,14.6928,17.4467
 New Zealand,450,525,515,515,485,515,41.2865,174.7762
 United Kingdom,3805,2955,3985,3980,3975,4050,51.5074,0.1278
 Canada,4830,4995,5330,5110,4920,5200,45.4215,75.6972
 Albania,90,100,85,35,25,30,41.3275,19.8189
 Saudi Arabia,1040,1200,1140,1380,1300,1350,24.7136,46.6753
 South Africa,660,715,880,650,600,665,29.0852,26.1596
 Iran,305,425,635,770,895,1000,35.6892,51.389
 Morocco,710,880,990,805,795,775,34.0209,6.8416
 Argentina,859,789,906,1019,810,840,34.6037,58.3816
 Russia,4625,4165,4055,4250,4250,4250,55.7558,37.6173
 Ukraine,1270,1235,1300,1080,1060,1120,50.4501,30.5234
 Taiwan,690,660,695,690,710,720,25.033,121.5654
 Korea South,2980,2995,3405,3175,3160,3275,37.5665,126.978
 Bosnia and Herzegovina,330,345,305,305,300,300,43.8563,18.4131
 Serbia,805,835,735,725,750,775,44.7866,20.4489
 Chile,245,215,200,260,260,275,33.4489,70.6693
 Japan,7290,7150,7415,6505,6895,7260,35.6762,139.6503
 Australia,1960,2055,2305,2135,2150,2200,35.2809,149.13
 Norway,795,815,750,725,765,795,59.9139,10.7522
 North Macedonia,100,90,77,85,85,85,41.9981,21.4254
 Georgia,80,85,95,95,90,90,41.7151,44.8271
 Singapore,100,90,100,110,100,105,1.3521,103.8198
 Kazakhstan,225,210,325,500,500,500,51.1694,71.4491
