Country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
 Angola,22,16,18,10,15,15
 Bolivia,22,23,33,40,40,40
 Brazil,36190,41689,35576,32200,41500,42500
 Burundi,260,215,160,150,200,200
 Cameroon,400,330,190,180,200,225
 China,885,360,740,320,600,500
 Colombia,11770,11500,11000,9450,10600,10800
 Congo (Kinshasa),125,120,150,140,150,150
 Costa Rica,1130,1155,1100,1000,950,1000
 Cote dchr(39)Ivoire,1425,580,735,700,1000,1050
 Cuba,10,15,20,17,20,20
 Dominican Republic,10,10,12,15,15,15
 Ecuador,20,35,70,75,30,50
 El Salvador,543,527,600,487,375,400
 Ethiopia,4135,4675,4831,3910,4820,4800
 Guatemala,3211,3675,3335,3000,2850,2840
 Guinea,125,60,250,125,185,160
 Honduras,4900,6010,4650,5310,4900,5000
 India,3399,3818,4937,3924,4250,4200
 Indonesia,6096,6466,6335,6735,4285,6500
 Jamaica,11,11,11,10,10,10
 Kenya,737,655,771,881,725,725
 Laos,340,400,300,350,370,370
 Madagascar,25,35,15,10,10,10
 Malawi,9,9,10,10,9,10
 Mexico,1835,1890,2090,1550,1600,1650
 Nicaragua,2610,2420,2640,2400,2250,2500
 Panama,8,3,3,1,1,1
 Papua New Guinea,775,650,720,825,850,860
 Peru,3720,3326,4065,3325,3920,4100
 Rwanda,350,300,270,260,250,275
 Sierra Leone,41,60,30,40,50,40
 Tanzania,1200,1050,1240,1150,1260,1300
 Togo,100,85,80,100,80,100
 Uganda,5350,6514,5850,6250,6300,6300
 Vietnam,24526,22450,26110,26000,24850,24400
