Table 04 Coffee Consumption


                ,2019/20,2020/21,2021/22,2022/23,2023/24,Jun 2024/25,
Domestic Consumption,
                        
 Albania,90,100,85,35,25,30,
 Algeria,2040,2240,2090,2050,1950,1950,
 Angola,10,14,12,10,10,10,
 Argentina,859,789,906,1019,810,840,
 Armenia,200,180,220,240,220,225,
 Australia,1960,2055,2305,2135,2150,2200,
 Benin,0,0,0,0,0,0,
 Bolivia,63,57,52,50,55,60,
 Bosnia and Herzegovina,330,345,305,305,300,300,
 Brazil,22994,22280,22340,22450,22560,22670,
 Burundi,5,15,15,15,15,15,
 Cameroon,80,80,80,75,80,75,
 Canada,4830,4995,5330,5110,4920,5200,
 Central African Republic,0,0,0,0,0,0,
 Chile,245,215,200,260,260,275,
 China,3800,4600,5000,5400,5800,6200,
 Colombia,1775,2080,2145,2150,2220,2275,
 Congo (Brazzaville),0,0,0,0,0,0,
 Congo (Kinshasa),130,130,120,125,125,125,
 Costa Rica,463,485,350,380,380,380,
 Cote dchr(39)Ivoire,75,45,50,50,50,50,
 Croatia,0,0,0,0,0,0,
 Cuba,80,85,80,83,80,80,
 Dominican Republic,110,110,113,110,110,110,
 Ecuador,313,229,205,313,363,340,
 Egypt,750,400,450,350,400,425,
 El Salvador,270,221,217,297,300,295,
 Equatorial Guinea,0,0,0,0,0,0,
 Ethiopia,3140,3000,3364,3430,3500,3550,
 European Union,40264,41271,41867,44482,41613,41800,
 Gabon,0,0,0,0,0,0,
 Georgia,80,85,95,95,90,90,
 Ghana,0,0,0,0,0,0,
 Guatemala,635,609,625,610,612,610,
 Guinea,20,10,15,15,15,15,
 Guyana,0,0,0,0,0,0,
 Haiti,0,0,0,0,0,0,
 Honduras,366,369,373,367,385,410,
 India,1170,1180,875,1236,1300,1320,
 Indonesia,4900,4450,4750,4771,4785,4800,
 Iran,305,425,635,770,895,1000,
 Jamaica,5,4,4,5,5,5,
 Japan,7610,7354,7210,6886,7300,7300,
 Jordan,770,845,730,725,745,810,
 Kazakhstan,225,210,325,500,500,500,
 Kenya,36,81,48,47,45,45,
 Korea South,2980,2995,3405,3175,3160,3275,
 Kosovo,90,70,65,60,65,60,
 Laos,100,85,85,85,80,80,
 Liberia,0,0,0,0,0,0,
 North Macedonia,100,90,77,85,85,85,
 Madagascar,300,290,285,315,290,290,
 Malawi,1,1,1,1,1,0,
 Malaysia,635,800,750,675,400,300,
 Mexico,2620,2589,2850,3050,3100,3100,
 Montenegro,35,40,40,40,40,40,
 Morocco,710,880,990,805,795,775,
 New Caledonia,0,0,0,0,0,0,
 New Zealand,450,525,515,515,485,515,
 Nicaragua,150,175,165,155,155,155,
 Nigeria,0,0,0,0,0,0,
 Norway,795,815,750,725,765,795,
 Panama,67,97,110,117,144,149,
 Papua New Guinea,51,50,55,50,50,50,
 Paraguay,0,0,0,0,0,0,
 Peru,210,222,245,240,250,240,
 Philippines,6120,6585,7190,7075,6950,7050,
 Russia,4625,4165,4055,4250,4250,4250,
 Rwanda,0,0,0,0,0,0,
 Saudi Arabia,1040,1200,1140,1380,1300,1350,
 Senegal,80,85,50,15,10,10,
 Serbia,805,835,735,725,750,775,
 Sierra Leone,24,15,10,10,10,10,
 Singapore,100,90,100,110,100,105,
 South Africa,660,715,880,650,600,665,
 Sri Lanka,0,0,0,0,0,0,
 Switzerland,1055,1180,1185,1160,1020,1100,
 Taiwan,690,660,695,690,710,720,
 Tanzania,50,75,40,75,77,75,
 Thailand,800,650,725,730,850,925,
 Togo,0,0,0,0,0,0,
 Trinidad and Tobago,0,0,0,0,0,0,
 Turkey,1215,1165,1285,1590,1605,1625,
 Uganda,100,100,125,300,325,325,
 Ukraine,1270,1235,1300,1080,1060,1120,
 United Kingdom,3805,2955,3985,3980,3975,4050,
 United States,26049,25922,26723,24623,25125,26050,
 Uruguay,20,35,40,35,35,35,
 Venezuela,550,480,500,500,500,500,
 Vietnam,3100,2720,3200,3200,3450,3600,
 Yemen,0,0,0,0,0,0,
 Zambia,0,0,0,0,0,0,
 Zimbabwe,0,0,0,0,0,0,

    Total,162450,162234,167937,169222,167540,170634,
