Coffee Summary


                ,2019/20,2020/21,2021/22,2022/23,2023/24,Jun 2024/25,
Arabica Production,
                            nr,nr,nr,nr,nr,nr,
 Brazil,42000,49700,36400,39800,44900,48200,
 Colombia,14100,13400,11800,10700,12200,12400,
 Ethiopia,7475,7600,8150,7300,8350,8360,
 Honduras,5200,6500,4800,5700,5300,5300,
 Peru,3925,3369,4200,3475,4000,4250,
 Mexico,3150,3000,3200,3000,3325,3350,
 Guatemala,3515,3810,3410,3150,3000,3000,
 Nicaragua,2675,2550,2718,2430,2275,2525,
 China,2000,1900,1800,1800,1800,1900,
 Indonesia,1250,1300,1280,1200,1350,1400,
 India,1450,1650,1583,1667,1500,1400,
 Vietnam,1100,950,1100,1000,1100,1150,
 Costa Rica,1466,1472,1215,1100,1100,1100,
 Uganda,1025,730,990,990,1000,1000,
 Papua New Guinea,775,650,725,825,850,825,
 Other,3815,3539,3739,3629,3630,3695,

    Total,94921,102120,87110,87766,95680,99855,

Robusta Production,
                            nr,nr,nr,nr,nr,nr,
 Vietnam,30200,28050,30480,27300,28000,27850,
 Brazil,18500,20200,21700,22800,21400,21700,
 Indonesia,9450,9400,9300,9500,6800,9500,
 Uganda,4450,5900,5060,5575,5400,5400,
 India,3517,3917,4117,4200,4600,4600,
 Malaysia,1900,2000,2000,2000,1500,1500,
 Cote dchr(39)Ivoire,1775,910,1110,1020,1350,1400,
 Thailand,700,600,650,700,750,700,
 Tanzania,575,525,550,550,600,625,
 Mexico,550,530,540,545,545,550,
 Other,2492,2407,2420,2456,2555,2555,

    Total,74109,74439,77927,76646,73500,76380,

Production,
                            nr,nr,nr,nr,nr,nr,
 Brazil,60500,69900,58100,62600,66300,69900,
 Vietnam,31300,29000,31580,28300,29100,29000,
 Colombia,14100,13400,11800,10700,12200,12400,
 Indonesia,10700,10700,10580,10700,8150,10900,
 Ethiopia,7475,7600,8150,7300,8350,8360,
 Uganda,5475,6630,6050,6565,6400,6400,
 India,4967,5567,5700,5867,6100,6000,
 Honduras,5200,6500,4800,5700,5300,5300,
 Peru,3925,3369,4200,3475,4000,4250,
 Mexico,3700,3530,3740,3545,3870,3900,
 Guatemala,3645,3930,3540,3270,3120,3120,
 Nicaragua,2755,2650,2838,2590,2435,2685,
 China,2000,1900,1800,1800,1800,1900,
 Malaysia,1900,2000,2000,2000,1500,1500,
 Cote dchr(39)Ivoire,1775,910,1110,1020,1350,1400,
 Tanzania,1200,1125,1200,1200,1350,1400,
 Costa Rica,1466,1472,1215,1100,1100,1100,
 Papua New Guinea,825,700,775,875,900,875,
 Kenya,750,693,860,750,725,750,
 Thailand,700,600,650,700,750,700,
 Venezuela,550,480,500,500,500,500,
 El Salvador,510,540,600,550,450,450,
 Laos,440,485,385,435,450,450,
 Philippines,450,425,450,475,450,450,
 Ecuador,275,255,260,354,370,355,
 Other,2447,2198,2154,2041,2160,2190,

    Total,169030,176559,165037,164412,169180,176235,
