Table 06B Green Coffee Bean Exports


                ,2019/20,2020/21,2021/22,2022/23,2023/24,Jun 2024/25,
Bean Exports,
                        
 Albania,0,0,0,0,0,0,
 Algeria,0,0,0,0,0,0,
 Angola,22,16,18,10,15,15,
 Argentina,0,0,0,0,0,0,
 Armenia,0,0,0,0,0,0,
 Australia,0,0,0,0,0,0,
 Benin,0,0,0,0,0,0,
 Bolivia,22,23,33,40,40,40,
 Bosnia and Herzegovina,0,0,0,0,0,0,
 Brazil,36190,41689,35576,32200,41500,42500,
 Burundi,260,215,160,150,200,200,
 Cameroon,400,330,190,180,200,225,
 Canada,0,0,0,0,0,0,
 Central African Republic,0,0,0,0,0,0,
 Chile,0,0,0,0,0,0,
 China,885,360,740,320,600,500,
 Colombia,11770,11500,11000,9450,10600,10800,
 Congo (Brazzaville),0,0,0,0,0,0,
 Congo (Kinshasa),125,120,150,140,150,150,
 Costa Rica,1130,1155,1100,1000,950,1000,
 Cote dchr(39)Ivoire,1425,580,735,700,1000,1050,
 Croatia,0,0,0,0,0,0,
 Cuba,10,15,20,17,20,20,
 Dominican Republic,10,10,12,15,15,15,
 Ecuador,20,35,70,75,30,50,
 Egypt,0,0,0,0,0,0,
 El Salvador,543,527,600,487,375,400,
 Equatorial Guinea,0,0,0,0,0,0,
 Ethiopia,4135,4675,4831,3910,4820,4800,
 European Union,0,0,0,0,0,0,
 Gabon,0,0,0,0,0,0,
 Georgia,0,0,0,0,0,0,
 Ghana,0,0,0,0,0,0,
 Guatemala,3211,3675,3335,3000,2850,2840,
 Guinea,125,60,250,125,185,160,
 Guyana,0,0,0,0,0,0,
 Haiti,0,0,0,0,0,0,
 Honduras,4900,6010,4650,5310,4900,5000,
 India,3399,3818,4937,3924,4250,4200,
 Indonesia,6096,6466,6335,6735,4285,6500,
 Iran,0,0,0,0,0,0,
 Jamaica,11,11,11,10,10,10,
 Japan,0,0,0,0,0,0,
 Jordan,0,0,0,0,0,0,
 Kazakhstan,0,0,0,0,0,0,
 Kenya,737,655,771,881,725,725,
 Korea South,0,0,0,0,0,0,
 Kosovo,0,0,0,0,0,0,
 Laos,340,400,300,350,370,370,
 Liberia,0,0,0,0,0,0,
 North Macedonia,0,0,0,0,0,0,
 Madagascar,25,35,15,10,10,10,
 Malawi,9,9,10,10,9,10,
 Malaysia,0,0,0,0,0,0,
 Mexico,1835,1890,2090,1550,1600,1650,
 Montenegro,0,0,0,0,0,0,
 Morocco,0,0,0,0,0,0,
 New Caledonia,0,0,0,0,0,0,
 New Zealand,0,0,0,0,0,0,
 Nicaragua,2610,2420,2640,2400,2250,2500,
 Nigeria,0,0,0,0,0,0,
 Norway,0,0,0,0,0,0,
 Panama,8,3,3,1,1,1,
 Papua New Guinea,775,650,720,825,850,860,
 Paraguay,0,0,0,0,0,0,
 Peru,3720,3326,4065,3325,3920,4100,
 Philippines,0,0,0,0,0,0,
 Russia,0,0,0,0,0,0,
 Rwanda,350,300,270,260,250,275,
 Saudi Arabia,0,0,0,0,0,0,
 Senegal,0,0,0,0,0,0,
 Serbia,0,0,0,0,0,0,
 Sierra Leone,41,60,30,40,50,40,
 Singapore,0,0,0,0,0,0,
 South Africa,0,0,0,0,0,0,
 Sri Lanka,0,0,0,0,0,0,
 Switzerland,0,0,0,0,0,0,
 Taiwan,0,0,0,0,0,0,
 Tanzania,1200,1050,1240,1150,1260,1300,
 Thailand,0,0,0,0,0,0,
 Togo,100,85,80,100,80,100,
 Trinidad and Tobago,0,0,0,0,0,0,
 Turkey,0,0,0,0,0,0,
 Uganda,5350,6514,5850,6250,6300,6300,
 Ukraine,0,0,0,0,0,0,
 United Kingdom,0,0,0,0,0,0,
 United States,0,0,0,0,0,0,
 Uruguay,0,0,0,0,0,0,
 Venezuela,0,0,0,0,0,0,
 Vietnam,24526,22450,26110,26000,24850,24400,
 Yemen,0,0,0,0,0,0,
 Zambia,0,0,0,0,0,0,
 Zimbabwe,0,0,0,0,0,0,

    Total,116315,121137,118947,110950,119520,123116,
