country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,latitude,longitude
Ecuador,155,88,90,113,120,105,-0.180653,-78.467834
El Salvador,510,540,600,550,450,450,13.68935,-89.18718
Brazil,42000,49700,36400,39800,44900,48200,-15.793889,-47.882778
Burundi,265,230,175,165,215,215,-3.36126,29.347916
Indonesia,1250,1300,1280,1200,1350,1400,-6.2,106.816666
Bolivia,85,80,85,90,95,100,-16.489689,-68.119293
Philippines,25,25,25,25,25,25,14.599512,120.984222
Jamaica,16,15,15,15,15,15,18.019487,-76.829102
Guatemala,3515,3810,3410,3150,3000,3000,14.628434,-90.522713
Malawi,10,10,11,11,10,10,-15.786111,35.005833
Panama,75,75,75,85,75,75,8.983333,-79.51667
Colombia,14100,13400,11800,10700,12200,12400,4.624335,-74.063644
Papua New Guinea,775,650,725,825,850,825,-4.343673,152.268784
Vietnam,1100,950,1100,1000,1100,1150,21.028511,105.804817
Venezuela,550,480,500,500,500,500,10.5,-66.916664
Cuba,90,100,100,100,100,100,23.113592,-82.366592
Mexico,3150,3000,3200,3000,3325,3350,19.432777,-99.133217
Nicaragua,2675,2550,2718,2430,2275,2525,12.136389,-86.251389
Honduras,5200,6500,4800,5700,5300,5300,14.081999,-87.202438
Congo (Kinshasa),75,75,70,75,75,75,-4.322447,15.307045
Madagascar,25,25,25,25,25,25,-18.91368,47.53613
Tanzania,625,600,650,650,750,775,-6.776012,39.178326
Peru,3925,3369,4200,3475,4000,4250,-12.046374,-77.042793
Rwanda,350,300,270,260,250,275,-1.935114,30.082111
Ethiopia,7475,7600,8150,7300,8350,8360,9.005401,38.763611
Costa Rica,1466,1472,1215,1100,1100,1100,9.934739,-84.087502
India,1450,1650,1583,1667,1500,1400,28.6448,77.216721
United States,39,33,38,40,50,50,38.889805,-77.009056
Kenya,750,693,860,750,725,750,-1.286389,36.817223
China,2000,1900,1800,1800,1800,1900,39.916668,116.383331
Cameroon,50,50,25,50,25,25,3.844119,11.501346
Dominican Republic,120,120,125,125,125,125,18.483402,-69.929611
Uganda,1025,730,990,990,1000,1000,0.347596,32.58252
