country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,latitude,longitude
Sierra Leone,41,60,30,40,50,40,8.484444,-13.234444
Ecuador,20,35,70,75,30,50,-0.180653,-78.467834
El Salvador,543,527,600,487,375,400,13.68935,-89.18718
Brazil,36190,41689,35576,32200,41500,42500,-15.793889,-47.882778
Burundi,260,215,160,150,200,200,-3.36126,29.347916
Laos,340,400,300,350,370,370,17.974855,102.630867
Indonesia,6096,6466,6335,6735,4285,6500,-6.2,106.816666
Bolivia,22,23,33,40,40,40,-16.489689,-68.119293
Jamaica,11,11,11,10,10,10,18.019487,-76.829102
Guatemala,3211,3675,3335,3000,2850,2840,14.628434,-90.522713
Guinea,125,60,250,125,185,160,9.509167,-13.712222
Malawi,9,9,10,10,9,10,-15.786111,35.005833
Panama,8,3,3,1,1,1,8.983333,-79.51667
Colombia,11770,11500,11000,9450,10600,10800,4.624335,-74.063644
Papua New Guinea,775,650,720,825,850,860,-4.343673,152.268784
Vietnam,24526,22450,26110,26000,24850,24400,21.028511,105.804817
Cuba,10,15,20,17,20,20,23.113592,-82.366592
Mexico,1835,1890,2090,1550,1600,1650,19.432777,-99.133217
Nicaragua,2610,2420,2640,2400,2250,2500,12.136389,-86.251389
Honduras,4900,6010,4650,5310,4900,5000,14.081999,-87.202438
Congo (Kinshasa),125,120,150,140,150,150,-4.322447,15.307045
Madagascar,25,35,15,10,10,10,-18.91368,47.53613
Cote dIvoire,1425,580,735,700,1000,1050,5.345317,-4.024429
Angola,22,16,18,10,15,15,-8.838333,13.234444
Tanzania,1200,1050,1240,1150,1260,1300,-6.776012,39.178326
Peru,3720,3326,4065,3325,3920,4100,-12.046374,-77.042793
Togo,100,85,80,100,80,100,6.136629,1.222186
Rwanda,350,300,270,260,250,275,-1.935114,30.082111
Ethiopia,4135,4675,4831,3910,4820,4800,9.005401,38.763611
Costa Rica,1130,1155,1100,1000,950,1000,9.934739,-84.087502
India,3399,3818,4937,3924,4250,4200,28.6448,77.216721
Kenya,737,655,771,881,725,725,-1.286389,36.817223
China,885,360,740,320,600,500,39.916668,116.383331
Cameroon,400,330,190,180,200,225,3.844119,11.501346
Dominican Republic,10,10,12,15,15,15,18.483402,-69.929611
Uganda,5350,6514,5850,6250,6300,6300,0.347596,32.58252
