country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,latitude,longitude
Ecuador,370,475,413,465,400,400,-0.180653,-78.467834
El Salvador,12,15,11,10,10,10,13.68935,-89.18718
Brazil,4040,3954,4055,3900,4000,4100,-15.793889,-47.882778
Indonesia,1000,1350,1050,1040,1000,1000,-6.2,106.816666
Guatemala,5,11,15,15,15,15,14.628434,-90.522713
Colombia,1025,1010,1100,950,1000,1000,4.624335,-74.063644
Vietnam,2250,2300,2350,1890,1650,1700,21.028511,105.804817
Malaysia,3000,2780,2975,2500,2300,2400,3.140853,101.693207
Mexico,945,865,695,880,900,950,19.432777,-99.133217
Nicaragua,120,75,65,55,50,50,12.136389,-86.251389
European Union,1215,1460,1820,1720,1500,1500,53,9
Cote dIvoire,290,285,325,270,300,300,5.345317,-4.024429
Switzerland,415,400,365,365,350,350,46.204391,6.143158
Tanzania,30,7,7,10,10,10,-6.776012,39.178326
India,1782,1970,2310,2490,2080,2130,28.6448,77.216721
Thailand,905,885,990,900,1095,1000,13.736717,100.523186
China,230,300,315,360,350,325,39.916668,116.383331
