country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,latitude,longitude
Sierra Leone,41,60,30,40,50,40,8.484444,-13.234444
Ecuador,391,511,484,542,431,451,-0.180653,-78.467834
El Salvador,555,542,611,497,385,410,13.68935,-89.18718
Brazil,40256,45675,39685,36145,45550,46651,-15.793889,-47.882778
Burundi,260,215,160,150,200,200,-3.36126,29.347916
Laos,340,400,300,350,370,370,17.974855,102.630867
Indonesia,7152,7872,7428,7832,5355,7550,-6.2,106.816666
Bolivia,22,23,33,40,40,40,-16.489689,-68.119293
Jamaica,11,11,11,10,10,10,18.019487,-76.829102
Guatemala,3220,3691,3354,3019,2869,2860,14.628434,-90.522713
Guinea,125,60,250,125,185,160,9.509167,-13.712222
Malawi,9,9,10,10,9,10,-15.786111,35.005833
Panama,48,33,35,33,36,36,8.983333,-79.51667
Colombia,13005,12755,12365,10610,11780,12000,4.624335,-74.063644
Papua New Guinea,775,650,720,825,850,860,-4.343673,152.268784
Vietnam,27326,25300,29010,28340,26850,26500,21.028511,105.804817
Cuba,10,15,20,17,20,20,23.113592,-82.366592
Malaysia,3000,2780,2975,2500,2300,2400,3.140853,101.693207
Mexico,2986,3007,2933,2550,2660,2750,19.432777,-99.133217
Nicaragua,2740,2500,2710,2460,2305,2555,12.136389,-86.251389
European Union,3490,3875,4500,4695,3700,3600,53,9
Honduras,4900,6010,4650,5310,4900,5000,14.081999,-87.202438
Congo (Kinshasa),125,120,150,140,150,150,-4.322447,15.307045
Madagascar,25,35,15,10,10,10,-18.91368,47.53613
Cote dIvoire,1715,865,1060,970,1300,1350,5.345317,-4.024429
Angola,22,16,18,10,15,15,-8.838333,13.234444
Switzerland,1975,2270,2215,2130,2200,2200,46.204391,6.143158
Tanzania,1230,1057,1247,1160,1270,1310,-6.776012,39.178326
Peru,3720,3326,4065,3325,3920,4100,-12.046374,-77.042793
Togo,100,85,80,100,80,100,6.136629,1.222186
Rwanda,350,300,270,260,250,275,-1.935114,30.082111
Ethiopia,4135,4675,4831,3910,4820,4800,9.005401,38.763611
Costa Rica,1140,1165,1110,1010,960,1010,9.934739,-84.087502
India,5185,5794,7258,6420,6336,6340,28.6448,77.216721
Thailand,905,885,990,900,1095,1000,13.736717,100.523186
Kenya,737,655,771,881,725,725,-1.286389,36.817223
China,1130,685,1115,685,975,845,39.916668,116.383331
Cameroon,400,330,190,180,200,225,3.844119,11.501346
Dominican Republic,10,10,12,15,15,15,18.483402,-69.929611
Uganda,5350,6514,5850,6250,6300,6300,0.347596,32.58252
